LABEL	SRATE	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN
N160	0.005456	125136.14297028193	728411.9999999999	5	4127563.9999999995	4	5900401.999999999	12	14746581.999999998
N214	0.001517	724920.8452977767	65961	9	6225052	6	3140462.9999999995	9	44811016
Turnix_velox	0.157814	264470.01561416435	4538003.999999999	1	4538003.999999999	1	9299553.999999998	12	4538003.999999999
Dromas_ardeola	0.022331	159181.7702358781	2871631.9999999995	1	2871631.9999999995	1	9299553.999999998	14	2871631.9999999995
Glareola_pratincola	0.033156	143319.49961361976	2320203.9999999995	1	2320203.9999999995	1	9299553.999999998	15	2320203.9999999995
Rhinoptilus_africanus	0.034294	143319.49961361976	2320203.9999999995	1	2320203.9999999995	1	9299553.999999998	15	2320203.9999999995
N166	0.005732	143319.49961361976	551428	2	2871631.9999999995	2	6979349.999999999	14	5191835.999999999
N167	0.005554	159181.7702358781	582043.9999999999	3	3453675.9999999995	3	6427921.999999999	13	8645511.999999998
Stercorarius_parasiticus	0.021668	110381.44445316376	2539396.9999999995	1	2539396.9999999995	1	9299553.999999998	15	2539396.9999999995
Cepphus_grylle	0.01644	119037.63730665605	1925474	1	1925474	1	9299554	16	1925474
Alca_torda	0.009601	103212.69992287777	1622008.9999999998	1	1622008.9999999998	1	9299553.999999998	17	1622008.9999999998
Uria_aalge	0.003171	266462.4875804232	452442.9999999999	1	452442.9999999999	1	9299553.999999998	18	452442.9999999999
Uria_lomvia	0.003077	266462.4875804232	452442.9999999999	1	452442.9999999999	1	9299553.999999998	18	452442.9999999999
N173	0.006508	266462.4875804232	1169565.9999999998	2	1622008.9999999995	2	8847110.999999998	17	2074451.9999999995
N174	0.003131	103212.69992287777	303464.99999999994	3	1925473.9999999998	3	7677544.999999999	16	3999925.999999999
N175	0.003782	119037.63730665605	613923	4	2539397	4	7374079.999999999	15	6539322.999999999
N176	0.001656	110381.44445316376	147863	5	2687260	5	6760156.999999999	14	9226583
Phaetusa_simplex	0.019648	538032.3283338281	1951670.9999999998	1	1951670.9999999998	1	9299553.999999998	16	1951670.9999999998
Rynchops_niger	0.024463	538032.3283338281	1951670.9999999998	1	1951670.9999999998	1	9299553.999999998	16	1951670.9999999998
N179	0.00061	538032.3283338281	87082.99999999999	2	2038753.9999999998	2	7347882.999999999	15	3990424.9999999995
Rissa_tridactyla	0.001576	312986.4397	395617.99999999994	1	395617.99999999994	1	9299554	16	395617.99999999994
Chroicocephalus_maculipennis	0.003683	100014.14861776026	321815.99999999994	1	321815.99999999994	1	9299554	17	321815.99999999994
Larus_smithsonianus	0.003175	100014.14861776026	321815.99999999994	1	321815.99999999994	1	9299554	17	321815.99999999994
N183	0.000777	100014.14861776026	73801.99999999999	2	395617.99999999994	2	8977738	16	717433.9999999999
N184	0.01566	312986.4397	1643136	3	2038754	3	8903936	15	2756188
N185	0.003069	158883.32678885918	648505.9999999999	5	2687260	4	7260799.999999999	14	7395119
N215	0.006279	260454.2959695024	155172.99999999997	12	6380225	7	3074501.9999999995	8	55974160
N236	0.001698	207966.78632307838	172482.99999999997	6	5448518	5	4023518.9999999995	13	22305483
